machine_name,context
clear_cache,"Usuarios tienen un directorio de sitios webs a los que se puede borrar cache usando una API que se conecta directo a un servidor"
clear_cache,"Usuarios no ven los cambios en un ajuste de un sitio web y quieren refrescar la cache para que se reflejen"
clear_cache,"Usuarios mandan cambios a un repositorio web pero Imperia no deja mostrar los cambios"
send_inv_copy,"Usuario pide una copia del inventario de sitios web"
send_inv_copy,"Usuario necesita una copia del inventario"
send_inv_copy,"Usuario quiere una copia del inventario"
insert_inventory,"Usuario necesita ingresar un sitio web al inventario"
insert_inventory,"Usuario pide anexar al inventario"
insert_inventory,"Usuario requiere agregar el sitio"
insert_inventory,"Usuario requiere guardar el sitio"
update_inventory,"Usuarios necesitan actualizar el inventario de sitios web con nueva información"
update_inventory,"Se requiere actualizar el inventario con los últimos datos de los sitios web"
update_inventory,"Actualizar el inventario de los sitios web con información actualizada"
unknow_intention,"temas generales"